"Aktien_name","Aktien_URL","Aktien_Bilanzdaten_DieAktie","Aktien_Bilanzdaten_Jahr","Aktien_Bilanzdaten_EPSundiluted","Aktien_Bilanzdaten_EPSdiluted","Aktien_Bilanzdaten_DPS","Aktien_Bilanzdaten_GUV","Aktien_Bilanzdaten_Turnover","Aktien_Bilanzdaten_equityratio","Aktien_Bilanzdaten_deptratio","Aktien_HVDiv_Datum","Aktien_HVDiv_Dividende"
"IMMOFINANZ Aktie [WKN: 80905 / ISIN: AT0000809058]","http://www.finanzen.at/bilanz_guv/IMMOFINANZ","IMMOFINANZ: Die Aktie (in EUR)","2012","0,27","0,26","0","IMMOFINANZ: GuV (in Mio. EUR)","0,74","42,98","57,02","",""
"IMMOFINANZ Aktie [WKN: 80905 / ISIN: AT0000809058]","http://www.finanzen.at/bilanz_guv/IMMOFINANZ","IMMOFINANZ: Die Aktie (in EUR)","2013","0,11","0,11","0","IMMOFINANZ: GuV (in Mio. EUR)","0,88","42,26","57,74","",""
"IMMOFINANZ Aktie [WKN: 80905 / ISIN: AT0000809058]","http://www.finanzen.at/bilanz_guv/IMMOFINANZ","IMMOFINANZ: Die Aktie (in EUR)","2014","0,18","0,18","0","IMMOFINANZ: GuV (in Mio. EUR)","1,23","44,44","55,56","",""
"IMMOFINANZ Aktie [WKN: 80905 / ISIN: AT0000809058]","http://www.finanzen.at/bilanz_guv/IMMOFINANZ","IMMOFINANZ: Die Aktie (in EUR)","2015","-0,35","-0,35","0","IMMOFINANZ: GuV (in Mio. EUR)","0,78","41,84","58,16","",""
"IMMOFINANZ Aktie [WKN: 80905 / ISIN: AT0000809058]","http://www.finanzen.at/bilanz_guv/IMMOFINANZ","IMMOFINANZ: Die Aktie (in EUR)","2016","-0,3","-0,3","0","IMMOFINANZ: GuV (in Mio. EUR)","0,68","33,15","66,85","",""
"","","","","","","","","","","","29.09.16","-"
"","","","","","","","","","","","01.12.15","-"
"","","","","","","","","","","","30.09.15","-"
"","","","","","","","","","","","30.09.14","0,15"
"","","","","","","","","","","","02.10.13","0,15"
"","","","","","","","","","","","05.10.12","0,10"
"","","","","","","","","","","","28.09.11","-"
"","","","","","","","","","","","28.09.10","-"
"","","","","","","","","","","","20.01.10","-"
"","","","","","","","","","","","02.10.09","-"
"","","","","","","","","","","","23.09.08","0,33"
"","","","","","","","","","","","27.09.07","-"
"","","","","","","","","","","","28.09.06","-"
"","","","","","","","","","","","29.09.05","-"
"","","","","","","","","","","","30.09.04","-"
"","","","","","","","","","","","22.09.03","-"
"Lenzing Aktie [WKN: 64450 / ISIN: AT0000644505]","http://www.finanzen.at/bilanz_guv/Lenzing","Lenzing AG: Die Aktie (in EUR)","","Ergebnis je Aktie unverwässert","Ergebnis je Aktie verwässert","Dividende pro Aktie","Lenzing AG: GuV (in Mio. EUR)","Umsatz je Aktie","Eigenkapitalquote in %","Fremdkapitalquote in %","",""
"Lenzing Aktie [WKN: 64450 / ISIN: AT0000644505]","http://www.finanzen.at/bilanz_guv/Lenzing","Lenzing AG: Die Aktie (in EUR)","2010","6,19","6,19","1,55","Lenzing AG: GuV (in Mio. EUR)","68,66","35,85","64,15","",""
"Lenzing Aktie [WKN: 64450 / ISIN: AT0000644505]","http://www.finanzen.at/bilanz_guv/Lenzing","Lenzing AG: Die Aktie (in EUR)","2011","9,88","9,88","2,5","Lenzing AG: GuV (in Mio. EUR)","81,77","42,29","57,71","",""
"Lenzing Aktie [WKN: 64450 / ISIN: AT0000644505]","http://www.finanzen.at/bilanz_guv/Lenzing","Lenzing AG: Die Aktie (in EUR)","2012","6,61","6,61","2","Lenzing AG: GuV (in Mio. EUR)","78,73","41,9","58,1","",""
"Lenzing Aktie [WKN: 64450 / ISIN: AT0000644505]","http://www.finanzen.at/bilanz_guv/Lenzing","Lenzing AG: Die Aktie (in EUR)","2013","1,89","1,89","1,75","Lenzing AG: GuV (in Mio. EUR)","71,9","43,76","56,24","",""
"Lenzing Aktie [WKN: 64450 / ISIN: AT0000644505]","http://www.finanzen.at/bilanz_guv/Lenzing","Lenzing AG: Die Aktie (in EUR)","2014","-0,51","-0,51","1","Lenzing AG: GuV (in Mio. EUR)","70,22","42,31","57,69","",""
"Lenzing Aktie [WKN: 64450 / ISIN: AT0000644505]","http://www.finanzen.at/bilanz_guv/Lenzing","Lenzing AG: Die Aktie (in EUR)","2015","4,63","4,63","2","Lenzing AG: GuV (in Mio. EUR)","74,46","47,9","52,1","",""
"Lenzing Aktie [WKN: 64450 / ISIN: AT0000644505]","http://www.finanzen.at/bilanz_guv/Lenzing","Lenzing AG: Die Aktie (in EUR)","2016","8,48","8,48","3","Lenzing AG: GuV (in Mio. EUR)","80,38","50,21","49,79","",""
